Hop1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Hop1,,,,,,,,
beginning hop,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Time,M1,M2,M4,M5,M6,M7,M8,M3
56340,3.27,2.45,3.91,3.08,1.34,6.07,3.63,6.23,,0,3.27,2.45,3.91,3.08,1.34,6.07,3.63,6.23
56357,3.27,2.77,3.88,3.07,1.34,6.06,3.64,6.2,,17,3.27,2.77,3.88,3.07,1.34,6.06,3.64,6.2
56373,3.27,2.67,3.64,3.07,1.31,6.08,3.62,5.95,,33,3.27,2.67,3.64,3.07,1.31,6.08,3.62,5.95
56390,3.26,2.62,3.87,3.06,1.33,6.1,3.61,5.94,,50,3.26,2.62,3.87,3.06,1.33,6.1,3.61,5.94
56406,3.25,2.38,3.87,3.05,1.31,6.05,3.6,5.96,,66,3.25,2.38,3.87,3.05,1.31,6.05,3.6,5.96
56422,3.23,2.56,3.85,3.02,1.28,6.07,3.57,6.12,,82,3.23,2.56,3.85,3.02,1.28,6.07,3.57,6.12
56438,3.21,2.56,3.77,2.99,1.22,5.99,3.54,6.07,,98,3.21,2.56,3.77,2.99,1.22,5.99,3.54,6.07
56454,3.16,2.5,3.74,3.18,1.32,6.09,3.71,5.98,,114,3.16,2.5,3.74,3.18,1.32,6.09,3.71,5.98
56470,3.32,2.46,3.86,2.82,1.27,6.02,3.56,5.9,,130,3.32,2.46,3.86,2.82,1.27,6.02,3.56,5.9
56486,3.17,2.36,3.68,3.02,1.21,5.96,3.47,6.14,,146,3.17,2.36,3.68,3.02,1.21,5.96,3.47,6.14
56502,3.09,2.55,3.75,2.87,1.23,6,3.35,5.9,,162,3.09,2.55,3.75,2.87,1.23,6,3.35,5.9
56519,3.21,2.35,3.77,2.74,1.12,5.88,3.34,6.16,,179,3.21,2.35,3.77,2.74,1.12,5.88,3.34,6.16
56535,3.06,2.37,3.81,2.77,1.11,5.9,3.32,5.82,,195,3.06,2.37,3.81,2.77,1.11,5.9,3.32,5.82
56551,3.04,2.34,3.77,2.76,1.03,5.91,3.28,6.02,,211,3.04,2.34,3.77,2.76,1.03,5.91,3.28,6.02
56567,3.22,2.2,3.63,2.49,0.98,5.67,3.31,5.73,,227,3.22,2.2,3.63,2.49,0.98,5.67,3.31,5.73
56583,3.23,2.31,3.63,2.64,0.9,5.86,3.11,5.87,,243,3.23,2.31,3.63,2.64,0.9,5.86,3.11,5.87
