Hop2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
beginning hop,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Time,M1,M2,M4,M5,M6,M7,M8,M3
29012,2.59,2.39,3.25,3.42,1.71,5.85,2.15,7.89,,0,2.59,2.39,3.25,3.42,1.71,5.85,2.15,7.89
29029,2.59,2.15,3.22,3.22,1.71,5.84,2.02,7.8,,17,2.59,2.15,3.22,3.22,1.71,5.84,2.02,7.8
29045,2.59,2.16,3.22,3.25,1.71,5.84,2.23,7.89,,33,2.59,2.16,3.22,3.25,1.71,5.84,2.23,7.89
29061,2.58,2.19,3.22,3.24,1.69,5.75,2.23,7.67,,49,2.58,2.19,3.22,3.24,1.69,5.75,2.23,7.67
29077,2.57,2.41,3.2,3.22,1.65,5.81,2.04,7.75,,65,2.57,2.41,3.2,3.22,1.65,5.81,2.04,7.75
29094,2.56,2.17,2.92,3.2,1.66,5.74,2.31,7.5,,82,2.56,2.17,2.92,3.2,1.66,5.74,2.31,7.5
29110,2.53,2.43,3.16,3.34,1.63,5.77,2.25,7.69,,98,2.53,2.43,3.16,3.34,1.63,5.77,2.25,7.69
29126,2.49,2.32,3.12,3.25,1.59,5.72,2.2,7.77,,114,2.49,2.32,3.12,3.25,1.59,5.72,2.2,7.77
29142,2.45,2.03,3.24,3.2,1.52,5.79,2.19,7.67,,130,2.45,2.03,3.24,3.2,1.52,5.79,2.19,7.67
29158,2.34,1.98,3.09,3.15,1.59,5.83,2.19,7.87,,146,2.34,1.98,3.09,3.15,1.59,5.83,2.19,7.87
29174,2.42,1.83,3.18,3.09,1.49,5.71,2.19,7.84,,162,2.42,1.83,3.18,3.09,1.49,5.71,2.19,7.84
29190,2.23,2.03,3.15,2.97,1.41,5.76,2.33,7.81,,178,2.23,2.03,3.15,2.97,1.41,5.76,2.33,7.81
29206,2.33,2.16,3.17,2.75,1.4,5.58,2.39,7.76,,194,2.33,2.16,3.17,2.75,1.4,5.58,2.39,7.76
29223,2.39,2.13,3.11,2.82,1.43,5.56,2.36,7.82,,211,2.39,2.13,3.11,2.82,1.43,5.56,2.36,7.82
29239,2.42,2.23,3.15,2.67,1.38,5.54,2.5,7.8,,227,2.42,2.23,3.15,2.67,1.38,5.54,2.5,7.8
29255,2.31,2.27,3.15,2.61,1.34,5.49,2.74,7.74,,243,2.31,2.27,3.15,2.61,1.34,5.49,2.74,7.74
29271,2.46,2.03,2.99,2.55,1.13,5.39,2.52,7.67,,259,2.46,2.03,2.99,2.55,1.13,5.39,2.52,7.67
29287,2.49,2.08,2.81,2.56,0.91,5.45,2.68,7.5,,275,2.49,2.08,2.81,2.56,0.91,5.45,2.68,7.5
29303,2.5,2.04,2.82,2.53,1.21,5.66,2.7,7.47,,291,2.5,2.04,2.82,2.53,1.21,5.66,2.7,7.47
29320,2.48,2.11,2.72,2.49,0.88,5.72,2.74,7.61,,308,2.48,2.11,2.72,2.49,0.88,5.72,2.74,7.61
29336,2.55,1.74,2.77,2.31,0.83,5.58,2.71,7.56,,324,2.55,1.74,2.77,2.31,0.83,5.58,2.71,7.56
29352,2.9,1.79,2.84,2.18,0.95,5.64,2.83,7.39,,340,2.9,1.79,2.84,2.18,0.95,5.64,2.83,7.39
29368,2.78,1.67,2.93,1.94,0.79,5.48,3.04,7.63,,356,2.78,1.67,2.93,1.94,0.79,5.48,3.04,7.63
29384,2.89,1.5,2.82,1.73,0.69,5.7,3.02,7.28,,372,2.89,1.5,2.82,1.73,0.69,5.7,3.02,7.28
29400,2.84,1.32,2.88,1.67,0.62,5.79,3.1,7.22,,388,2.84,1.32,2.88,1.67,0.62,5.79,3.1,7.22
29417,2.96,1.33,3.45,1.62,0.47,5.92,3.07,7.04,,405,2.96,1.33,3.45,1.62,0.47,5.92,3.07,7.04
29433,3.13,1.59,3.54,2.06,0.9,5.96,3.3,6.79,,421,3.13,1.59,3.54,2.06,0.9,5.96,3.3,6.79
29449,2.7,1.88,3.27,2.04,0.91,5.88,3.21,6.73,,437,2.7,1.88,3.27,2.04,0.91,5.88,3.21,6.73
29465,2.73,1.8,3.31,1.55,0.49,5.58,3.43,6.6,,453,2.73,1.8,3.31,1.55,0.49,5.58,3.43,6.6
29481,2.8,1.65,3.28,1.2,0.55,5.22,3.37,6.43,,469,2.8,1.65,3.28,1.2,0.55,5.22,3.37,6.43
29497,2.47,2.11,3.13,1.01,0.76,5.2,3.45,6.52,,485,2.47,2.11,3.13,1.01,0.76,5.2,3.45,6.52
29514,2.78,2.08,2.97,1.32,0.4,5.01,3.63,6.35,,502,2.78,2.08,2.97,1.32,0.4,5.01,3.63,6.35
29530,2.72,1.8,2.54,1.16,0.14,4.84,3.54,6.27,,518,2.72,1.8,2.54,1.16,0.14,4.84,3.54,6.27
29546,2.84,2.11,2.87,0.78,-0.01,4.73,3.94,6.26,,534,2.84,2.11,2.87,0.78,-0.01,4.73,3.94,6.26
29562,2.49,2.03,2.65,0.75,0.06,4.96,4.08,6.16,,550,2.49,2.03,2.65,0.75,0.06,4.96,4.08,6.16
29578,2.61,1.8,2.92,0.52,-0.35,4.88,4.14,6.04,,566,2.61,1.8,2.92,0.52,-0.35,4.88,4.14,6.04
29594,2.65,2.31,3.35,0.23,-0.18,4.96,4.12,5.87,,582,2.65,2.31,3.35,0.23,-0.18,4.96,4.12,5.87
29610,2.41,2.35,3.12,-0.17,0.04,4.91,4.36,5.6,,598,2.41,2.35,3.12,-0.17,0.04,4.91,4.36,5.6
29627,2.72,2.01,3.35,-0.38,0.02,4.72,4.54,5.86,,615,2.72,2.01,3.35,-0.38,0.02,4.72,4.54,5.86
29643,2.29,2.49,2.8,-0.2,-0.09,4.57,4.72,5.56,,631,2.29,2.49,2.8,-0.2,-0.09,4.57,4.72,5.56
29659,2.5,2.15,2.55,-0.53,-0.21,4.4,4.82,5.14,,647,2.5,2.15,2.55,-0.53,-0.21,4.4,4.82,5.14
29675,2.63,2.18,2.74,-0.35,-0.61,3.99,4.97,5.1,,663,2.63,2.18,2.74,-0.35,-0.61,3.99,4.97,5.1
29691,2.46,2.26,2.78,-0.12,-0.78,4.27,5.45,5.12,,679,2.46,2.26,2.78,-0.12,-0.78,4.27,5.45,5.12
29707,2.81,2.59,3.32,-0.41,-0.64,4.61,5.74,4.92,,695,2.81,2.59,3.32,-0.41,-0.64,4.61,5.74,4.92
29724,2.46,2.39,3,-0.29,-1.03,4.42,5.96,4.59,,712,2.46,2.39,3,-0.29,-1.03,4.42,5.96,4.59
29740,2.7,2.05,3.04,-0.67,-0.47,4.51,6.28,4.54,,728,2.7,2.05,3.04,-0.67,-0.47,4.51,6.28,4.54
29756,2.2,2,2.61,-1.35,-0.8,4.51,6.13,4.67,,744,2.2,2,2.61,-1.35,-0.8,4.51,6.13,4.67
29772,2.72,1.85,3.23,-1.32,-0.98,4.54,6.52,4.57,,760,2.72,1.85,3.23,-1.32,-0.98,4.54,6.52,4.57
29788,2.87,1.42,3.17,-0.95,-1.07,4.81,6.58,4.73,,776,2.87,1.42,3.17,-0.95,-1.07,4.81,6.58,4.73
29804,3.09,1.51,3.56,-1.3,-1.67,4.76,6.88,4.24,,792,3.09,1.51,3.56,-1.3,-1.67,4.76,6.88,4.24
29821,3.3,1.79,3.22,-1.14,-1.95,4.75,7.04,3.96,,809,3.3,1.79,3.22,-1.14,-1.95,4.75,7.04,3.96
29837,2.87,1.65,3.13,-1.53,-2.08,4.65,7.44,3.95,,825,2.87,1.65,3.13,-1.53,-2.08,4.65,7.44,3.95
29853,3.01,1.65,2.78,-1.48,-1.75,4.47,7.28,3.46,,841,3.01,1.65,2.78,-1.48,-1.75,4.47,7.28,3.46
29869,3.09,1.79,2.54,-1.49,-2.04,4.33,7.19,3.55,,857,3.09,1.79,2.54,-1.49,-2.04,4.33,7.19,3.55
29885,2.99,1.71,2.47,-1.14,-1.86,4.54,7.25,3.27,,873,2.99,1.71,2.47,-1.14,-1.86,4.54,7.25,3.27
29901,2.89,1.54,2.81,-0.89,-2.51,4.72,7.04,3.05,,889,2.89,1.54,2.81,-0.89,-2.51,4.72,7.04,3.05
29918,2.92,0.72,2.22,-1.01,-2.66,4.61,7.29,3.4,,906,2.92,0.72,2.22,-1.01,-2.66,4.61,7.29,3.4
29934,2.7,0.25,1.94,-0.92,-2.96,4.71,7.12,3.55,,922,2.7,0.25,1.94,-0.92,-2.96,4.71,7.12,3.55
29950,3.14,0.21,1.81,-0.2,-2.38,4.32,7.13,3.84,,938,3.14,0.21,1.81,-0.2,-2.38,4.32,7.13,3.84
29966,3.41,-0.15,1.61,-0.75,-2.18,4.32,6.81,3.6,,954,3.41,-0.15,1.61,-0.75,-2.18,4.32,6.81,3.6
29982,3.57,-0.14,1.99,-0.44,-2.08,4.52,6.62,3.45,,970,3.57,-0.14,1.99,-0.44,-2.08,4.52,6.62,3.45
29998,4.01,-0.36,1.99,-0.88,-2.44,4.62,6.92,3.79,,986,4.01,-0.36,1.99,-0.88,-2.44,4.62,6.92,3.79
30014,3.73,-0.88,1.45,-1.01,-2.38,4.41,6.74,3.93,,1002,3.73,-0.88,1.45,-1.01,-2.38,4.41,6.74,3.93
30031,4,-1.31,2,-0.61,-2.66,4.3,11.96,4.35,,1019,4,-1.31,2,-0.61,-2.66,4.3,11.96,4.35
30048,3.97,-1.32,2.15,-1.47,-1.88,3.18,10.23,6.12,,1036,3.97,-1.32,2.15,-1.47,-1.88,3.18,10.23,6.12
30064,4.58,-2.05,1.11,-0.43,-0.92,2.05,0.47,5.41,,1052,4.58,-2.05,1.11,-0.43,-0.92,2.05,0.47,5.41
30080,3.39,-1.75,0.8,-0.23,0.42,4.32,3.02,8.26,,1068,3.39,-1.75,0.8,-0.23,0.42,4.32,3.02,8.26
30097,2.74,-1.96,2.67,0.06,1.3,5.1,3.09,8.97,,1085,2.74,-1.96,2.67,0.06,1.3,5.1,3.09,8.97
30113,3.2,-2.21,3.19,-0.14,0.29,4.46,2.66,7.58,,1101,3.2,-2.21,3.19,-0.14,0.29,4.46,2.66,7.58
30129,2.56,-2.77,2.28,-0.85,-0.38,3.72,2.9,6.94,,1117,2.56,-2.77,2.28,-0.85,-0.38,3.72,2.9,6.94
30145,2.15,-2.04,1.78,-0.43,-0.78,3.36,3.26,7.38,,1133,2.15,-2.04,1.78,-0.43,-0.78,3.36,3.26,7.38
30161,2,-1.15,2.37,0.19,-0.79,3.4,3.7,8.17,,1149,2,-1.15,2.37,0.19,-0.79,3.4,3.7,8.17
30177,1.49,-1.79,2.5,0.1,-0.61,3.74,3.24,8.41,,1165,1.49,-1.79,2.5,0.1,-0.61,3.74,3.24,8.41
30193,0.94,-1.51,2.57,-0.51,-0.65,4.01,2.82,7.99,,1181,0.94,-1.51,2.57,-0.51,-0.65,4.01,2.82,7.99
30209,1.19,-1.39,2.66,-1.29,-0.93,4.28,2.48,7.47,,1197,1.19,-1.39,2.66,-1.29,-0.93,4.28,2.48,7.47
30226,0.8,-1.25,2.27,-1.84,-0.75,3.98,2.65,7.32,,1214,0.8,-1.25,2.27,-1.84,-0.75,3.98,2.65,7.32
30242,0.95,-1.55,2.03,-1.42,-0.68,3.49,2.91,6.7,,1230,0.95,-1.55,2.03,-1.42,-0.68,3.49,2.91,6.7
30258,1.09,-0.92,1.87,-0.74,-0.85,3.7,3.09,6.33,,1246,1.09,-0.92,1.87,-0.74,-0.85,3.7,3.09,6.33
30274,1.12,-1.02,1.89,-0.59,-0.85,2.99,3.09,5.96,,1262,1.12,-1.02,1.89,-0.59,-0.85,2.99,3.09,5.96
30298,0.36,-1.32,2.13,-0.21,-0.22,3.45,2.89,5.56,,1286,0.36,-1.32,2.13,-0.21,-0.22,3.45,2.89,5.56
30314,0.88,-1.2,2.21,0.31,-0.47,3.43,2.71,5.77,,1302,0.88,-1.2,2.21,0.31,-0.47,3.43,2.71,5.77
30330,0.49,-1.84,2.42,-0.02,-0.73,3.87,2.62,5.55,,1318,0.49,-1.84,2.42,-0.02,-0.73,3.87,2.62,5.55
30346,0.48,-1.71,2.31,-0.01,-1.03,3.26,2.6,5.15,,1334,0.48,-1.71,2.31,-0.01,-1.03,3.26,2.6,5.15
30362,0.44,-1.5,2.29,-0.37,-1,3.41,2.7,4.87,,1350,0.44,-1.5,2.29,-0.37,-1,3.41,2.7,4.87
