Hop5,,,,,,,,,,,,,,,,,,
beginning hop,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Time,M1,M2,M4,M5,M6,M7,M8,M3
33133,3.62,1.51,3.11,2.79,1.98,5.92,2.65,7.79,,0,3.62,1.51,3.11,2.79,1.98,5.92,2.65,7.79
33150,3.65,1.51,3.07,2.78,1.98,5.97,2.61,7.7,,17,3.65,1.51,3.07,2.78,1.98,5.97,2.61,7.7
33166,3.63,1.71,3.07,2.77,1.98,6,2.74,7.69,,33,3.63,1.71,3.07,2.77,1.98,6,2.74,7.69
33182,3.65,1.43,3.07,2.77,1.97,5.99,2.63,7.96,,49,3.65,1.43,3.07,2.77,1.97,5.99,2.63,7.96
33198,3.65,1.78,3.05,2.69,1.95,5.97,2.89,7.99,,65,3.65,1.78,3.05,2.69,1.95,5.97,2.89,7.99
33215,3.61,1.81,3.06,2.92,1.93,6.2,2.82,7.92,,82,3.61,1.81,3.06,2.92,1.93,6.2,2.82,7.92
33231,3.58,1.43,2.99,2.63,1.89,5.88,2.75,7.88,,98,3.58,1.43,2.99,2.63,1.89,5.88,2.75,7.88
33247,3.54,1.41,2.95,2.88,1.81,6,2.95,8.05,,114,3.54,1.41,2.95,2.88,1.81,6,2.95,8.05
33263,3.49,1.61,2.86,2.84,1.91,5.9,2.8,7.95,,130,3.49,1.61,2.86,2.84,1.91,5.9,2.8,7.95
33279,3.42,1.66,2.97,2.72,1.84,5.95,2.69,8.03,,146,3.42,1.66,2.97,2.72,1.84,5.95,2.69,8.03
33295,3.61,1.52,2.93,2.59,1.89,6.07,2.76,8.1,,162,3.61,1.52,2.93,2.59,1.89,6.07,2.76,8.1
33311,3.49,1.38,2.99,2.37,1.76,5.87,2.67,7.83,,178,3.49,1.38,2.99,2.37,1.76,5.87,2.67,7.83
33327,3.42,1.25,3.05,2.37,1.76,6.11,2.77,8.11,,194,3.42,1.25,3.05,2.37,1.76,6.11,2.77,8.11
33344,3.17,1.08,2.82,2.4,1.82,5.84,2.64,8.15,,211,3.17,1.08,2.82,2.4,1.82,5.84,2.64,8.15
33360,3.17,1.09,2.72,2.26,1.81,5.97,2.57,7.98,,227,3.17,1.09,2.72,2.26,1.81,5.97,2.57,7.98
33376,3.07,1.03,2.84,2.45,1.93,6,2.69,8.07,,243,3.07,1.03,2.84,2.45,1.93,6,2.69,8.07
33392,3.18,0.96,2.96,2.61,1.96,5.93,2.43,7.93,,259,3.18,0.96,2.96,2.61,1.96,5.93,2.43,7.93
33408,3.18,1.15,2.63,2.46,1.98,5.89,2.59,8.16,,275,3.18,1.15,2.63,2.46,1.98,5.89,2.59,8.16
33432,3.15,0.94,2.65,2.46,1.96,5.77,2.28,7.83,,299,3.15,0.94,2.65,2.46,1.96,5.77,2.28,7.83
33448,2.83,1.08,2.55,2.24,2.03,5.73,1.94,7.93,,315,2.83,1.08,2.55,2.24,2.03,5.73,1.94,7.93
33464,3.34,1.32,2.49,2.08,2.08,6.36,2.3,7.89,,331,3.34,1.32,2.49,2.08,2.08,6.36,2.3,7.89
33480,3.27,0.93,2.5,1.99,2.18,6.42,2.11,7.82,,347,3.27,0.93,2.5,1.99,2.18,6.42,2.11,7.82
33496,3.73,0.82,2.41,2.24,1.95,6.28,1.84,7.93,,363,3.73,0.82,2.41,2.24,1.95,6.28,1.84,7.93
33512,3.53,0.67,2.5,2.34,1.88,6.28,1.64,7.65,,379,3.53,0.67,2.5,2.34,1.88,6.28,1.64,7.65
