Time, M1, M2, M4, M5, M6, M7, M8, M3,,Time, M1, M2, M4, M5, M6, M7, M8, M3
18587,0.13,0.03,0.43,0.18,-0.2,0.39,0.08,-0.15,,0,0.13,0.03,0.43,0.18,-0.2,0.39,0.08,-0.15
18604,0.04,0.04,0.43,0.2,-0.18,0.49,0.1,-0.24,,17,0.04,0.04,0.43,0.2,-0.18,0.49,0.1,-0.24
18620,0.04,0.09,0.43,0.26,-0.11,0.39,0.16,-0.15,,33,0.04,0.09,0.43,0.26,-0.11,0.39,0.16,-0.15
18637,0.14,0.22,0.52,0.41,-0.04,0.39,0.28,-0.15,,50,0.14,0.22,0.52,0.41,-0.04,0.39,0.28,-0.15
18653,0.14,0.44,0.43,0.66,0.23,0.49,0.54,-0.24,,66,0.14,0.44,0.43,0.66,0.23,0.49,0.54,-0.24
18669,0.14,0.69,0.52,0.95,0.53,0.49,0.91,-0.15,,82,0.14,0.69,0.52,0.95,0.53,0.49,0.91,-0.15
18685,0.14,1.28,0.52,1.29,0.94,0.39,1.42,-0.15,,98,0.14,1.28,0.52,1.29,0.94,0.39,1.42,-0.15
18701,0.14,1.89,0.62,1.55,1.41,0.39,1.96,-0.15,,114,0.14,1.89,0.62,1.55,1.41,0.39,1.96,-0.15
18717,0.23,2.64,0.66,2.01,1.82,0.39,2.63,-0.24,,130,0.23,2.64,0.66,2.01,1.82,0.39,2.63,-0.24
18733,0.32,3.59,0.75,2.6,2.43,0.3,2.96,-0.43,,146,0.32,3.59,0.75,2.6,2.43,0.3,2.96,-0.43
18750,0.32,4.54,0.94,3.21,2,0.07,2.82,-1.11,,163,0.32,4.54,0.94,3.21,2,0.07,2.82,-1.11
18766,0.04,4.59,1.03,3.92,2.45,-0.95,2.78,-1.36,,179,0.04,4.59,1.03,3.92,2.45,-0.95,2.78,-1.36
18782,-0.72,4.38,0.62,3.92,1.94,-1.5,2.98,-1.71,,195,-0.72,4.38,0.62,3.92,1.94,-1.5,2.98,-1.71
