Stand3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Time, M1, M2, M4, M5, M6, M7, M8, M3,,Time, M1, M2, M4, M5, M6, M7, M8, M3
23563,0.16,0.19,0.25,0.05,-0.47,0.36,0.31,0.27,,0,0.16,0.19,0.25,0.05,-0.47,0.36,0.31,0.27
23580,0.09,0.2,0.25,0.06,-0.14,0.38,0.35,0.22,,17,0.09,0.2,0.25,0.06,-0.14,0.38,0.35,0.22
23596,0.16,0.26,0.25,0.16,-0.27,0.35,0.52,0.37,,33,0.16,0.26,0.25,0.16,-0.27,0.35,0.52,0.37
23612,0.16,0.41,0.25,0.19,0.02,0.36,0.42,0.26,,49,0.16,0.41,0.25,0.19,0.02,0.36,0.42,0.26
23629,0.15,0.71,0.25,0.73,0.15,0.38,0.99,0.26,,66,0.15,0.71,0.25,0.73,0.15,0.38,0.99,0.26
23645,0.14,1.06,0.25,0.93,0.52,0.38,0.96,0.28,,82,0.14,1.06,0.25,0.93,0.52,0.38,0.96,0.28
23661,0.11,1.44,0.19,1.17,0.78,0.38,1.58,0.3,,98,0.11,1.44,0.19,1.17,0.78,0.38,1.58,0.3
23677,0.3,2.15,0.4,1.94,1.03,0.38,2.14,0.17,,114,0.3,2.15,0.4,1.94,1.03,0.38,2.14,0.17
23693,0.25,2.96,0.46,2.38,1.81,0.27,2.79,0.07,,130,0.25,2.96,0.46,2.38,1.81,0.27,2.79,0.07
23709,0.21,3.9,0.4,2.64,1.67,-0.03,2.67,-0.28,,146,0.21,3.9,0.4,2.64,1.67,-0.03,2.67,-0.28
23725,0.08,4.2,0.35,3.34,1.68,-0.63,3.34,-0.57,,162,0.08,4.2,0.35,3.34,1.68,-0.63,3.34,-0.57
23742,-0.42,4.21,-0.11,3.74,2.47,-0.98,2.79,-1.49,,179,-0.42,4.21,-0.11,3.74,2.47,-0.98,2.79,-1.49
23758,-0.69,4.37,-0.61,3.92,1.97,-1.33,2.93,-1.85,,195,-0.69,4.37,-0.61,3.92,1.97,-1.33,2.93,-1.85
23774,-1.35,4.08,-0.64,4.29,2.83,-1.11,3.31,-2.21,,211,-1.35,4.08,-0.64,4.29,2.83,-1.11,3.31,-2.21
23790,-1.98,5.08,-0.62,5.01,3.08,-2.38,3.02,-2.34,,227,-1.98,5.08,-0.62,5.01,3.08,-2.38,3.02,-2.34
23806,-2,5.46,-1.34,4.33,2.6,-1.87,2.95,-2.1,,243,-2,5.46,-1.34,4.33,2.6,-1.87,2.95,-2.1
23822,-2.12,5.66,-0.94,4.48,2.38,-1.85,2.97,-1.95,,259,-2.12,5.66,-0.94,4.48,2.38,-1.85,2.97,-1.95
23839,-2.27,5.19,-0.76,4.97,2.99,-1.37,2.29,-1.77,,276,-2.27,5.19,-0.76,4.97,2.99,-1.37,2.29,-1.77
23855,-1.8,5.06,-0.66,4.64,2.44,-1.46,3.22,-1.95,,292,-1.8,5.06,-0.66,4.64,2.44,-1.46,3.22,-1.95
23871,-1.98,5.09,-0.81,5.32,2.38,-1.11,3.13,-1.44,,308,-1.98,5.09,-0.81,5.32,2.38,-1.11,3.13,-1.44
23887,-2.09,5.39,-0.78,5.52,1.12,-1.36,2.76,-1.61,,324,-2.09,5.39,-0.78,5.52,1.12,-1.36,2.76,-1.61
23903,-2.19,5.45,-0.5,4.67,2.8,-0.95,2.93,-0.85,,340,-2.19,5.45,-0.5,4.67,2.8,-0.95,2.93,-0.85
23919,-1.77,4.72,-0.85,5.2,2.23,-0.78,2.48,-1.09,,356,-1.77,4.72,-0.85,5.2,2.23,-0.78,2.48,-1.09
23936,-2.06,4.84,-0.41,4.83,2.3,-1.19,2.72,-1.26,,373,-2.06,4.84,-0.41,4.83,2.3,-1.19,2.72,-1.26
23952,-2.09,5.8,-0.19,5.01,2.55,-0.94,3.58,-0.61,,389,-2.09,5.8,-0.19,5.01,2.55,-0.94,3.58,-0.61
23968,-1.84,5.77,-0.24,5.84,2.64,-0.51,2.84,-0.41,,405,-1.84,5.77,-0.24,5.84,2.64,-0.51,2.84,-0.41
23984,-1.4,5.44,-0.22,6.04,1.98,-0.53,3.29,-0.51,,421,-1.4,5.44,-0.22,6.04,1.98,-0.53,3.29,-0.51
24000,-1.47,6.04,0.08,5.29,2.55,-0.25,3.52,-0.32,,437,-1.47,6.04,0.08,5.29,2.55,-0.25,3.52,-0.32
24016,-1.37,5.73,0.21,5.26,2.18,-0.64,3.49,0.15,,453,-1.37,5.73,0.21,5.26,2.18,-0.64,3.49,0.15
24033,-1.23,5.9,0.57,5.44,2.86,-0.26,4.02,0.18,,470,-1.23,5.9,0.57,5.44,2.86,-0.26,4.02,0.18
24049,-1.01,5.81,0.53,5.15,2.54,-0.42,3.09,0.62,,486,-1.01,5.81,0.53,5.15,2.54,-0.42,3.09,0.62
24065,-0.89,5.41,0.66,5.36,2.89,0,3.61,0.63,,502,-0.89,5.41,0.66,5.36,2.89,0,3.61,0.63
24081,-0.44,6.12,0.89,5.97,2.64,-0.02,3.48,1.05,,518,-0.44,6.12,0.89,5.97,2.64,-0.02,3.48,1.05
24097,-0.37,6.53,1.37,6.29,2.52,0.13,3.57,0.8,,534,-0.37,6.53,1.37,6.29,2.52,0.13,3.57,0.8
24113,-0.04,6.61,1.51,5.84,2.92,0.45,3.8,1.28,,550,-0.04,6.61,1.51,5.84,2.92,0.45,3.8,1.28
24129,0.18,6.2,1.84,5.38,3.29,0.45,3.8,1.52,,566,0.18,6.2,1.84,5.38,3.29,0.45,3.8,1.52
